		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
02/09/26	12:00	30.7	30.7	30.3	79	26.6	3.1	W	11.27	5.8	SW	30.7	39.5	39.5	1005.6	0.00	0.0	0.000	0.514	27.5	52	16.8	27.9	9.42	1.1437	1324	3	100.0	60
02/09/26	13:00	31.6	31.6	30.7	76	26.8	4.0	W	14.48	6.7	W	31.5	41.3	41.2	1005.1	0.00	0.0	0.000	0.551	27.5	51	16.5	27.8	9.32	1.1435	1326	3	100.0	60
02/09/26	14:00	31.7	31.8	31.3	79	27.6	3.6	W	12.87	7.2	W	31.7	42.7	42.7	1004.2	0.00	0.0	0.000	0.556	27.6	54	17.4	28.1	9.75	1.1410	1326	3	100.0	60
02/09/26	15:00	31.4	31.8	31.3	79	27.4	4.0	W	14.48	7.2	W	31.3	42.0	41.9	1003.2	0.00	0.0	0.000	0.546	27.5	50	16.1	27.7	9.12	1.1418	1320	3	100.0	60
02/09/26	16:00	32.2	32.2	31.4	75	27.2	3.1	WNW	11.27	6.7	W	32.2	42.8	42.8	1002.5	0.00	0.0	0.000	0.576	27.4	55	17.6	28.1	9.85	1.1391	1318	3	100.0	60
02/09/26	17:00	31.6	32.2	31.5	77	27.1	4.0	WNW	14.48	7.2	W	31.6	41.8	41.7	1002.1	0.00	0.0	0.000	0.553	27.4	51	16.4	27.7	9.32	1.1407	1303	3	100.0	60
02/09/26	18:00	31.3	31.8	31.2	78	27.0	3.1	WNW	11.27	5.8	W	31.3	41.1	41.1	1002.0	0.00	0.0	0.000	0.539	27.8	49	16.1	28.1	8.91	1.1391	1317	3	100.0	60
02/09/26	19:00	30.8	31.3	30.8	80	26.9	1.8	W	6.44	4.0	W	30.8	40.2	40.2	1002.4	0.00	0.0	0.000	0.519	27.8	49	16.1	28.1	8.91	1.1396	1327	3	100.0	60
02/09/26	20:00	29.8	30.8	29.8	82	26.4	1.3	W	4.83	4.0	WSW	29.8	37.8	37.8	1002.6	0.00	0.0	0.000	0.479	27.4	54	17.3	28.0	9.75	1.1397	1329	3	100.0	60
02/09/26	21:00	29.6	30.0	29.5	87	27.2	0.0	W	0.00	0.9	W	29.6	38.3	38.3	1003.4	0.00	0.0	0.000	0.468	27.3	50	16.0	27.6	9.13	1.1428	1319	3	100.0	60
02/09/26	22:00	28.8	29.6	28.1	88	26.6	1.3	WSW	4.83	3.6	WSW	28.8	36.3	36.3	1004.5	0.00	0.0	0.000	0.438	27.4	50	16.0	27.6	9.12	1.1438	1312	3	100.0	60
02/09/26	23:00	28.2	28.8	28.2	91	26.6	1.3	SW	4.83	3.1	SW	28.2	34.9	34.9	1005.5	0.00	0.0	0.000	0.410	27.3	51	16.3	27.6	9.33	1.1451	1328	3	100.0	60
03/09/26	00:00	27.7	28.2	27.7	94	26.6	0.0	SW	0.00	1.3	SW	27.7	34.0	34.0	1005.3	0.00	0.0	0.000	0.389	27.3	52	16.6	27.7	9.43	1.1442	1327	3	100.0	60
03/09/26	1:00	27.3	27.7	27.0	98	26.9	0.4	NNW	1.61	1.3	NNW	27.3	33.7	33.7	1005.2	0.00	0.0	0.000	0.373	27.3	51	16.3	27.6	9.33	1.1447	1321	3	100.0	60
03/09/26	2:00	27.4	27.7	27.3	98	27.0	0.4	SW	1.61	1.3	SW	27.4	34.0	34.0	1004.5	0.00	0.0	0.000	0.377	27.4	51	16.4	27.7	9.32	1.1435	1325	3	100.0	60
03/09/26	3:00	27.1	27.4	27.0	97	26.5	0.4	W	1.61	1.3	NW	27.1	32.8	32.8	1004.2	0.00	0.0	0.000	0.363	27.3	53	16.9	27.8	9.63	1.1425	1320	3	100.0	60
03/09/26	4:00	27.2	27.3	26.9	97	26.6	0.4	W	1.61	1.3	WNW	27.2	33.2	33.2	1004.0	0.00	0.0	0.000	0.368	27.4	54	17.3	27.9	9.75	1.1416	1316	3	100.0	60
03/09/26	5:00	27.2	27.3	27.2	96	26.5	0.0	SE	0.00	0.4	SE	27.2	33.1	33.1	1003.8	0.00	0.0	0.000	0.370	27.3	59	18.6	28.2	10.55	1.1399	1318	3	100.0	60
03/09/26	6:00	26.8	27.3	26.8	97	26.3	0.0	SE	0.00	0.4	SE	26.8	32.2	32.2	1003.9	0.00	0.0	0.000	0.354	26.8	62	18.9	27.8	11.14	1.1411	1324	3	100.0	60
03/09/26	7:00	26.7	26.9	26.4	97	26.2	0.4	W	1.61	1.3	W	26.7	31.9	31.9	1003.8	0.00	0.0	0.000	0.350	26.8	62	18.9	27.7	11.15	1.1412	1316	3	100.0	60
03/09/26	8:00	27.4	27.4	26.7	95	26.5	0.0	WSW	0.00	2.7	W	27.4	33.4	33.4	1004.3	0.00	0.0	0.000	0.377	26.8	61	18.7	27.7	10.95	1.1419	1324	3	100.0	60
03/09/26	9:00	28.9	28.9	27.3	87	26.6	2.2	W	8.05	6.3	W	28.9	36.4	36.4	1005.2	0.00	0.0	0.000	0.442	27.1	59	18.4	27.8	10.55	1.1426	1322	3	100.0	60
03/09/26	10:00	30.1	30.1	28.9	83	26.8	4.5	W	16.09	8.0	WSW	29.6	38.8	38.3	1005.4	0.00	0.0	0.000	0.488	27.3	55	17.5	27.9	9.85	1.1431	1321	3	100.0	60
03/09/26	11:00	30.3	30.4	30.1	81	26.7	4.0	W	14.48	7.2	W	30.1	38.9	38.7	1005.3	0.00	0.0	0.000	0.498	27.4	55	17.6	28.1	9.85	1.1424	1329	3	100.0	60
03/09/26	12:00	31.2	31.3	30.3	79	27.1	4.0	W	14.48	7.6	W	31.1	41.3	41.1	1005.0	0.00	0.0	0.000	0.537	27.4	53	17.0	27.9	9.62	1.1429	1323	3	100.0	60
03/09/26	13:00	31.8	31.8	31.2	75	26.8	4.5	W	16.09	8.0	W	31.8	41.8	41.7	1004.2	0.00	0.0	0.000	0.563	27.7	52	16.9	28.1	9.41	1.1412	1315	3	100.0	60
03/09/26	14:00	32.3	32.4	31.8	75	27.3	4.0	W	14.48	11.6	W	32.3	43.2	43.2	1003.2	0.00	0.0	0.000	0.581	27.4	53	17.0	27.8	9.62	1.1410	1325	3	100.0	60
03/09/26	15:00	32.7	32.9	31.9	71	26.7	4.0	WNW	14.48	11.6	W	32.7	42.8	42.8	1002.2	0.00	0.0	0.000	0.597	27.6	52	16.9	28.1	9.42	1.1393	1328	3	100.0	60
03/09/26	16:00	32.6	33.1	32.6	73	27.1	4.5	WNW	16.09	8.5	W	32.6	43.5	43.5	1001.4	0.00	0.0	0.000	0.595	27.6	51	16.5	27.9	9.32	1.1389	1329	3	100.0	60
03/09/26	17:00	32.3	32.8	32.2	74	27.0	3.6	WNW	12.87	6.7	WNW	32.3	42.8	42.8	1000.7	0.00	0.0	0.000	0.581	27.3	52	16.6	27.7	9.43	1.1389	1315	3	100.0	60
03/09/26	18:00	32.3	32.4	32.2	74	27.0	4.0	WSW	14.48	7.6	WSW	32.3	42.8	42.8	1000.5	0.00	0.0	0.000	0.581	27.9	50	16.5	28.2	9.11	1.1367	1323	3	100.0	60
03/09/26	19:00	31.5	32.3	31.5	75	26.5	3.6	W	12.87	5.8	WSW	31.5	40.7	40.7	1001.0	0.00	0.0	0.000	0.549	28.2	49	16.5	28.6	8.89	1.1361	1331	3	100.0	60
03/09/26	20:00	30.3	31.5	30.3	82	26.9	3.1	WSW	11.27	5.8	W	30.3	39.4	39.4	1001.8	0.00	0.0	0.000	0.500	27.8	49	16.1	28.1	8.91	1.1389	1325	3	100.0	60
03/09/26	21:00	29.1	30.4	29.1	89	27.1	3.1	SW	11.27	7.6	SW	29.1	37.2	37.2	1002.6	0.00	0.0	0.000	0.447	27.6	51	16.5	27.9	9.32	1.1404	1313	3	100.0	60
03/09/26	22:00	28.5	29.1	28.4	91	26.9	1.3	SW	4.83	3.6	WSW	28.5	35.9	35.9	1003.4	0.00	0.0	0.000	0.424	27.5	52	16.8	27.9	9.42	1.1411	1331	3	100.0	60
03/09/26	23:00	28.3	28.6	28.2	92	26.9	1.3	SW	4.83	3.1	WSW	28.3	35.4	35.4	1004.6	0.00	0.0	0.000	0.414	27.6	51	16.5	27.9	9.32	1.1427	1325	3	100.0	60
04/09/26	00:00	27.6	28.3	27.6	91	26.0	2.2	W	8.05	8.5	NW	27.6	33.2	33.2	1005.4	0.00	0.0	0.000	0.387	27.5	52	16.8	27.9	9.42	1.1435	1332	3	100.0	60
04/09/26	1:00	25.6	27.6	25.6	99	25.4	1.8	WNW	6.44	7.6	WNW	25.6	29.3	29.3	1004.2	1.20	15.6	0.000	0.303	27.4	57	18.1	28.2	10.18	1.1406	1327	3	100.0	60
04/09/26	2:00	25.6	25.8	25.4	99	25.4	0.4	SW	1.61	2.2	SSW	25.6	29.3	29.3	1003.6	0.00	0.0	0.000	0.303	27.4	55	17.6	28.1	9.85	1.1404	1330	3	100.0	60
04/09/26	3:00	25.8	25.8	25.5	99	25.7	0.9	SE	3.22	2.2	SE	25.8	29.8	29.8	1003.2	0.00	0.0	0.000	0.313	27.4	54	17.3	28.0	9.75	1.1404	1328	3	100.0	60
04/09/26	4:00	25.8	25.9	25.7	99	25.6	0.9	SSW	3.22	2.2	SSW	25.8	29.7	29.7	1002.7	0.00	0.0	0.000	0.310	27.4	54	17.3	28.0	9.75	1.1398	1321	3	100.0	60
04/09/26	5:00	26.0	26.2	25.8	99	25.8	0.4	SW	1.61	1.8	SSW	26.0	30.2	30.2	1002.6	0.00	0.0	0.000	0.319	27.4	54	17.3	28.0	9.75	1.1397	1332	3	100.0	60
04/09/26	6:00	26.0	26.1	25.9	100	26.0	0.4	S	1.61	2.2	S	26.0	30.4	30.4	1003.3	0.00	0.0	0.000	0.319	26.9	62	19.0	27.9	11.14	1.1397	1332	3	100.0	60
04/09/26	7:00	26.2	26.2	26.0	99	26.0	0.4	SW	1.61	1.8	WSW	26.2	30.7	30.7	1003.6	0.00	0.0	0.000	0.326	26.8	63	19.2	27.9	11.34	1.1403	1331	3	100.0	60
04/09/26	8:00	26.9	26.9	26.2	98	26.6	0.0	SW	0.00	1.3	SW	26.9	32.7	32.7	1004.4	0.00	0.0	0.000	0.359	26.9	62	19.0	27.9	11.14	1.1414	1329	3	100.0	60
04/09/26	9:00	27.7	27.7	26.9	96	27.0	0.0	SE	0.00	1.3	SE	27.7	34.6	34.6	1005.2	0.00	0.0	0.000	0.391	26.9	59	18.2	27.6	10.55	1.1434	1323	3	100.0	60
04/09/26	10:00	29.6	29.7	27.7	86	27.0	2.2	W	8.05	5.4	WSW	29.6	38.3	38.3	1005.6	0.00	0.0	0.000	0.470	27.2	59	18.5	28.1	10.55	1.1422	1317	3	100.0	60
04/09/26	11:00	30.8	30.8	29.6	80	26.9	2.2	W	8.05	5.4	WSW	30.8	40.2	40.2	1005.3	0.00	0.0	0.000	0.519	27.3	54	17.2	27.8	9.75	1.1434	1320	3	100.0	60
04/09/26	12:00	32.1	32.1	30.8	78	27.7	3.1	WNW	11.27	6.7	NW	32.1	43.7	43.7	1005.0	0.00	0.0	0.000	0.572	27.5	51	16.5	27.8	9.32	1.1434	1330	3	100.0	60
04/09/26	13:00	32.5	32.6	31.8	72	26.8	4.5	NW	16.09	7.6	W	32.5	42.7	42.7	1004.4	0.00	0.0	0.000	0.590	27.6	52	16.8	28.0	9.42	1.1421	1330	3	100.0	60
04/09/26	14:00	32.8	33.0	32.4	72	27.1	4.5	NW	16.09	8.5	NW	32.8	43.8	43.8	1003.5	0.00	0.0	0.000	0.604	27.6	51	16.6	27.9	9.32	1.1411	1320	3	100.0	60
04/09/26	15:00	33.0	33.1	32.7	71	27.0	4.9	WNW	17.70	8.0	NW	33.0	43.9	43.9	1002.5	0.00	0.0	0.000	0.611	27.6	51	16.6	27.9	9.32	1.1400	1321	3	100.0	60
04/09/26	16:00	32.7	33.1	32.6	72	27.0	4.0	W	14.48	7.2	WNW	32.7	43.4	43.4	1001.6	0.00	0.0	0.000	0.600	27.4	51	16.4	27.8	9.32	1.1398	1313	3	100.0	60
04/09/26	17:00	33.2	33.3	32.7	71	27.2	3.6	WNW	12.87	6.3	W	33.2	44.4	44.4	1001.3	0.00	0.0	0.000	0.618	27.4	52	16.7	27.8	9.42	1.1390	1330	3	100.0	60
04/09/26	18:00	32.6	33.2	32.5	74	27.3	2.7	NW	9.66	5.8	NNW	32.6	43.7	43.7	1001.7	0.00	0.0	0.000	0.593	27.7	51	16.6	28.1	9.31	1.1388	1318	3	100.0	60
04/09/26	19:00	31.5	32.6	31.4	78	27.2	1.8	WSW	6.44	3.6	WSW	31.5	41.8	41.8	1002.5	0.00	0.0	0.000	0.549	27.8	49	16.1	28.0	8.91	1.1401	1323	3	100.0	60
04/09/26	20:00	30.8	31.5	30.7	79	26.8	1.3	WSW	4.83	4.0	WSW	30.8	40.0	40.0	1003.3	0.00	0.0	0.000	0.521	27.5	48	15.5	27.6	8.82	1.1427	1316	3	100.0	60
04/09/26	21:00	29.8	30.9	29.8	86	27.2	0.9	SSE	3.22	2.7	W	29.8	38.8	38.8	1004.3	0.00	0.0	0.000	0.477	27.4	50	16.1	27.7	9.12	1.1434	1330	3	100.0	60
04/09/26	22:00	29.0	29.8	29.0	89	27.0	0.9	S	3.22	2.2	S	29.0	37.1	37.1	1004.9	0.00	0.0	0.000	0.444	27.4	50	16.1	27.7	9.12	1.1441	1319	3	100.0	60
04/09/26	23:00	28.7	29.0	28.6	91	27.1	0.4	SSW	1.61	2.2	SSW	28.7	36.6	36.6	1005.2	0.00	0.0	0.000	0.433	27.4	50	16.1	27.7	9.12	1.1444	1317	3	100.0	60
05/09/26	00:00	28.2	28.8	28.1	94	27.1	0.0	SSW	0.00	0.9	SSW	28.2	35.6	35.6	1004.9	0.00	0.0	0.000	0.410	27.4	51	16.4	27.7	9.32	1.1439	1311	3	100.0	60
05/09/26	1:00	27.2	28.2	27.2	95	26.4	0.4	NNW	1.61	1.8	NW	27.2	32.9	32.9	1004.5	0.00	0.0	0.000	0.370	27.3	52	16.6	27.7	9.43	1.1433	1316	3	100.0	60
05/09/26	2:00	27.4	27.6	26.8	96	26.7	0.4	NNW	1.61	2.2	NNW	27.4	33.8	33.8	1004.3	0.00	0.0	0.000	0.380	27.4	51	16.4	27.7	9.32	1.1432	1317	3	100.0	60
05/09/26	3:00	26.9	27.4	26.7	99	26.7	0.0	NNW	0.00	1.3	NNW	26.9	32.7	32.7	1004.0	0.00	0.0	0.000	0.356	27.2	53	16.8	27.6	9.63	1.1428	1322	3	100.0	60
05/09/26	4:00	26.9	27.1	26.7	98	26.5	0.0	---	0.00	0.0	---	26.9	32.5	32.5	1003.5	0.00	0.0	0.000	0.356	27.2	52	16.5	27.6	9.43	1.1426	1325	3	100.0	60
05/09/26	5:00	26.7	26.9	26.3	99	26.5	0.0	---	0.00	0.0	---	26.7	32.1	32.1	1003.3	0.00	0.0	0.000	0.347	27.2	52	16.5	27.6	9.43	1.1425	1326	3	100.0	60
05/09/26	6:00	27.1	27.2	26.6	99	26.9	0.0	W	0.00	1.3	WNW	27.1	33.3	33.3	1003.9	0.00	0.0	0.000	0.366	27.1	60	18.6	27.9	10.75	1.1407	1324	3	100.0	60
05/09/26	7:00	27.3	27.4	27.1	97	26.8	0.9	SW	3.22	2.7	W	27.3	33.7	33.7	1004.3	0.00	0.0	0.000	0.375	26.8	61	18.7	27.7	10.95	1.1419	1320	3	100.0	60
05/09/26	8:00	27.6	27.6	27.3	97	27.1	0.9	SW	3.22	1.8	W	27.6	34.5	34.5	1004.9	0.00	0.0	0.000	0.387	26.9	61	18.7	27.8	10.95	1.1424	1331	3	100.0	60
05/09/26	9:00	28.6	28.6	27.6	91	26.9	1.3	WSW	4.83	3.1	WSW	28.6	36.1	36.1	1005.9	0.00	0.0	0.000	0.426	27.1	59	18.4	27.8	10.55	1.1434	1313	3	100.0	60
05/09/26	10:00	30.2	30.2	28.6	85	27.4	2.7	WSW	9.66	5.4	SW	30.2	40.0	40.0	1006.0	0.00	0.0	0.000	0.495	27.4	60	18.9	28.4	10.75	1.1414	1322	3	100.0	60
05/09/26	11:00	31.2	31.2	30.1	79	27.1	3.1	W	11.27	5.8	WNW	31.2	41.1	41.1	1006.0	0.00	0.0	0.000	0.535	27.5	51	16.5	27.8	9.32	1.1446	1326	3	100.0	60
05/09/26	12:00	32.3	32.6	31.2	72	26.6	4.5	WNW	16.09	8.5	NNW	32.3	42.2	42.2	1005.7	0.00	0.0	0.000	0.583	27.4	52	16.7	27.8	9.42	1.1441	1332	3	100.0	60
05/09/26	13:00	32.6	32.6	32.3	73	27.1	4.5	NW	16.09	9.4	NNW	32.6	43.3	43.3	1005.1	0.00	0.0	0.000	0.593	27.4	57	18.1	28.2	10.18	1.1416	1322	3	100.0	60
05/09/26	14:00	32.6	33.3	32.4	73	27.1	4.9	WNW	17.70	8.9	WNW	32.6	43.5	43.5	1003.8	0.00	0.0	0.000	0.595	27.5	52	16.8	27.9	9.42	1.1417	1323	3	100.0	60
05/09/26	15:00	32.4	32.8	32.1	74	27.2	4.5	WNW	16.09	8.9	WSW	32.4	43.2	43.2	1002.5	0.00	0.0	0.000	0.586	27.5	51	16.5	27.8	9.32	1.1405	1327	3	100.0	60
05/09/26	16:00	32.6	33.1	32.3	73	27.1	4.0	WNW	14.48	7.6	W	32.6	43.5	43.5	1001.9	0.00	0.0	0.000	0.595	27.4	53	17.0	27.8	9.62	1.1396	1313	3	100.0	60
05/09/26	17:00	33.1	33.1	32.6	70	26.8	3.6	WNW	12.87	7.2	WNW	33.1	43.7	43.7	1001.4	0.00	0.0	0.000	0.613	27.4	51	16.4	27.8	9.32	1.1395	1319	3	100.0	60
05/09/26	18:00	32.4	33.3	32.4	75	27.4	2.7	W	9.66	5.4	WSW	32.4	43.8	43.8	1001.5	0.00	0.0	0.000	0.588	27.2	52	16.5	27.6	9.43	1.1404	1320	3	100.0	60
05/09/26	19:00	31.7	32.4	31.7	76	26.9	2.7	WSW	9.66	5.4	WSW	31.7	41.6	41.6	1002.5	0.00	0.0	0.000	0.556	27.5	50	16.1	27.7	9.12	1.1410	1313	3	100.0	60
05/09/26	20:00	30.8	31.7	30.8	77	26.3	1.3	WSW	4.83	4.0	WSW	30.8	39.4	39.4	1003.2	0.00	0.0	0.000	0.521	27.3	51	16.3	27.6	9.33	1.1421	1320	3	100.0	60
05/09/26	21:00	29.3	30.9	29.3	85	26.5	1.8	SSW	6.44	4.9	WSW	29.3	37.1	37.1	1003.8	0.00	0.0	0.000	0.458	27.5	48	15.5	27.6	8.82	1.1433	1332	3	100.0	60
05/09/26	22:00	28.4	29.4	28.3	89	26.5	1.3	SSW	4.83	3.6	SSW	28.4	35.3	35.3	1004.5	0.00	0.0	0.000	0.421	27.4	50	16.0	27.6	9.12	1.1439	1325	3	100.0	60
05/09/26	23:00	28.7	28.7	28.4	90	26.9	0.0	S	0.00	1.3	SW	28.7	36.2	36.2	1005.4	0.00	0.0	0.000	0.431	27.4	50	16.0	27.6	9.12	1.1448	1328	3	100.0	60
06/09/26	00:00	28.3	28.7	28.2	94	27.2	0.9	SSW	3.22	2.7	SSW	28.3	35.9	35.9	1005.7	0.00	0.0	0.000	0.414	27.5	52	16.8	27.9	9.42	1.1439	1326	3	100.0	60
