		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
01/09/26	1:00	25.8	26.2	25.6	100	25.8	0.4	NNW	1.61	1.8	NNW	25.8	29.8	29.8	1005.4	0.00	0.0	0.000	0.310	27.3	56	17.8	28.0	10.05	1.1426	1332	3	100.0	60
01/09/26	2:00	25.6	26.1	25.6	100	25.6	0.0	SSW	0.00	1.8	SSW	25.6	29.4	29.4	1004.7	0.20	0.0	0.000	0.303	27.5	54	17.4	28.1	9.75	1.1418	1325	3	100.0	60
01/09/26	3:00	25.4	25.7	25.3	100	25.4	0.4	N	1.61	1.3	NNW	25.4	28.9	28.9	1004.3	0.00	0.0	0.000	0.294	27.4	55	17.6	28.1	9.85	1.1413	1331	3	100.0	60
01/09/26	4:00	25.8	25.9	25.4	100	25.8	0.0	---	0.00	0.0	---	25.8	29.8	29.8	1003.8	0.00	0.0	0.000	0.310	27.4	57	18.2	28.2	10.18	1.1398	1327	3	100.0	60
01/09/26	5:00	26.1	26.1	25.6	100	26.1	0.0	NNW	0.00	0.9	NNW	26.1	30.5	30.5	1004.0	0.00	0.0	0.000	0.322	27.0	62	19.1	28.1	11.14	1.1402	1325	3	100.0	60
01/09/26	6:00	26.1	26.3	25.9	100	26.1	0.0	SSW	0.00	1.3	SSW	26.1	30.7	30.7	1004.3	0.00	0.0	0.000	0.324	26.9	64	19.5	28.1	11.54	1.1404	1325	3	100.0	60
01/09/26	7:00	26.2	26.2	26.1	100	26.2	0.0	SSW	0.00	0.9	SSW	26.2	30.8	30.8	1004.3	0.00	0.0	0.000	0.326	26.8	63	19.2	27.9	11.34	1.1411	1325	3	100.0	60
01/09/26	8:00	26.2	26.3	26.1	100	26.2	0.0	---	0.00	0.0	---	26.2	30.8	30.8	1004.6	0.00	0.0	0.000	0.326	26.9	64	19.5	28.1	11.54	1.1407	1327	3	100.0	60
01/09/26	9:00	26.8	26.8	26.2	100	26.8	0.0	---	0.00	0.0	---	26.8	32.6	32.6	1005.3	0.00	0.0	0.000	0.352	26.9	61	18.7	27.8	10.95	1.1427	1330	3	100.0	60
01/09/26	10:00	28.2	28.2	26.8	95	27.3	0.9	SSW	3.22	3.1	SW	28.2	35.8	35.8	1005.9	0.00	0.0	0.000	0.410	26.9	58	18.0	27.6	10.35	1.1445	1310	3	100.0	60
01/09/26	11:00	30.0	30.0	28.2	87	27.6	3.1	WSW	11.27	5.8	WSW	30.0	39.8	39.8	1006.2	0.00	0.0	0.000	0.486	27.2	57	17.9	27.8	10.17	1.1440	1270	3	97.5	60
01/09/26	12:00	30.8	30.8	30.0	82	27.3	4.5	WSW	16.09	8.0	WSW	30.5	40.8	40.6	1005.9	0.00	0.0	0.000	0.519	27.5	54	17.4	28.1	9.75	1.1432	1323	3	100.0	60
01/09/26	13:00	31.6	31.8	30.8	78	27.2	4.5	W	16.09	8.5	WSW	31.4	42.0	41.9	1005.3	0.00	0.0	0.000	0.551	27.6	53	17.1	28.1	9.62	1.1427	1324	3	100.0	60
01/09/26	14:00	31.4	31.7	31.4	76	26.7	4.5	WNW	16.09	8.5	W	31.3	40.9	40.7	1004.5	0.00	0.0	0.000	0.546	27.5	52	16.8	27.9	9.42	1.1424	1316	3	100.0	60
01/09/26	15:00	31.1	31.5	30.9	77	26.5	3.6	W	12.87	7.6	W	31.0	40.1	40.0	1003.9	0.00	0.0	0.000	0.530	27.4	56	17.8	28.1	10.05	1.1406	1319	3	100.0	60
01/09/26	16:00	31.8	31.8	30.8	76	27.1	3.6	W	12.87	5.8	WNW	31.8	42.2	42.2	1003.0	0.00	0.0	0.000	0.563	27.3	55	17.5	27.9	9.85	1.1402	1299	3	99.8	60
01/09/26	17:00	32.1	32.2	31.7	76	27.3	3.1	W	11.27	6.3	W	32.1	42.9	42.9	1002.1	0.00	0.0	0.000	0.572	27.4	52	16.7	27.8	9.42	1.1400	1315	3	100.0	60
01/09/26	18:00	32.0	32.2	31.9	76	27.2	3.6	W	12.87	7.2	WSW	32.0	42.7	42.7	1002.2	0.00	0.0	0.000	0.569	27.6	52	16.9	28.1	9.42	1.1393	1315	3	100.0	60
01/09/26	19:00	30.8	32.2	30.8	78	26.5	3.1	WSW	11.27	5.4	WSW	30.8	39.7	39.7	1003.0	0.00	0.0	0.000	0.521	27.8	48	15.8	28.0	8.81	1.1408	1328	3	100.0	60
01/09/26	20:00	29.7	30.8	29.7	82	26.3	1.8	WSW	6.44	4.0	WSW	29.7	37.5	37.5	1004.4	0.00	0.0	0.000	0.475	27.4	49	15.8	27.6	8.92	1.1438	1326	3	100.0	60
01/09/26	21:00	28.9	29.7	28.8	87	26.5	1.3	WSW	4.83	3.6	WSW	28.9	36.2	36.2	1005.0	0.00	0.0	0.000	0.440	27.4	51	16.4	27.7	9.32	1.1440	1311	3	100.0	60
01/09/26	22:00	27.8	28.8	27.8	91	26.2	1.3	SSW	4.83	8.0	NW	27.8	33.9	33.9	1006.5	0.00	0.0	0.000	0.396	27.5	51	16.5	27.8	9.32	1.1452	1322	3	100.0	60
01/09/26	23:00	24.1	27.8	24.1	98	23.8	4.5	WNW	16.09	12.1	WSW	23.0	26.2	25.1	1006.6	1.80	8.4	0.000	0.241	27.3	60	18.8	28.2	10.75	1.1427	1322	3	100.0	60
02/09/26	00:00	24.6	24.7	24.1	98	24.3	0.4	SE	1.61	3.6	W	24.6	27.1	27.1	1006.6	0.00	0.0	0.000	0.262	27.4	56	17.9	28.2	10.05	1.1435	1333	3	100.0	60
02/09/26	1:00	24.8	24.9	24.4	100	24.8	0.4	W	1.61	1.8	SSE	24.8	27.7	27.7	1005.9	0.00	0.0	0.000	0.271	27.4	55	17.6	28.1	9.85	1.1430	1330	3	100.0	60
02/09/26	2:00	25.2	25.2	24.8	98	24.8	0.4	W	1.61	1.8	SSW	25.2	28.2	28.2	1005.4	0.00	0.0	0.000	0.285	27.4	55	17.6	28.1	9.85	1.1424	1332	3	100.0	60
02/09/26	3:00	25.6	25.8	25.1	98	25.2	0.4	WSW	1.61	2.2	SW	25.6	29.1	29.1	1005.0	0.00	0.0	0.000	0.301	27.4	54	17.3	27.9	9.75	1.1428	1324	3	100.0	60
02/09/26	4:00	25.0	25.6	24.8	100	25.0	0.4	ESE	1.61	1.8	ESE	25.0	28.0	28.0	1004.8	0.00	0.0	0.000	0.278	27.4	57	18.2	28.2	10.18	1.1410	1324	3	100.0	60
02/09/26	5:00	25.1	25.2	24.9	100	25.1	0.0	---	0.00	0.0	---	25.1	28.1	28.1	1004.5	0.00	0.0	0.000	0.280	26.9	62	19.0	27.9	11.14	1.1412	1327	3	100.0	60
02/09/26	6:00	25.1	25.1	24.9	100	25.1	0.4	ESE	1.61	1.3	E	25.1	28.1	28.1	1004.9	0.00	0.0	0.000	0.280	26.8	64	19.4	27.9	11.55	1.1417	1330	3	100.0	60
02/09/26	7:00	24.9	25.3	24.9	100	24.9	0.0	---	0.00	0.0	---	24.9	27.8	27.8	1005.0	0.00	0.0	0.000	0.273	26.8	65	19.6	28.1	11.75	1.1414	1328	3	100.0	60
02/09/26	8:00	25.4	25.4	24.9	100	25.4	0.0	W	0.00	0.9	W	25.4	28.9	28.9	1005.2	0.00	0.0	0.000	0.294	26.7	63	19.1	27.7	11.35	1.1428	1315	3	100.0	60
02/09/26	9:00	27.6	27.6	25.4	95	26.7	0.9	SW	3.22	3.6	WSW	27.6	34.1	34.1	1005.5	0.00	0.0	0.000	0.387	26.9	61	18.8	27.8	10.95	1.1427	1323	3	100.0	60
02/09/26	10:00	29.1	29.1	27.6	91	27.5	2.7	WSW	9.66	4.9	W	29.1	37.9	37.9	1005.8	0.00	0.0	0.000	0.449	27.2	56	17.6	27.8	10.05	1.1440	1324	3	100.0	60
02/09/26	11:00	30.3	30.3	29.1	80	26.5	3.1	W	11.27	5.8	W	30.3	38.8	38.8	1006.0	0.00	0.0	0.000	0.500	27.4	55	17.5	28.0	9.85	1.1434	1324	3	100.0	60
